省份,年份,财政支出效率,数字经济指数,政府透明度指数,协同效应,飞轮效应,财政分权,城镇化率,二产值占比,市场化指数,GDP增速
北京市,2000,,,,1.0,7.39909706546275,0.0200878332573805,0.77544734526254,0.380637899594959,4.484,12.0
北京市,2001,,,,1.0,6.90651213535798,0.0253528407506411,0.780593458956032,0.277750827377295,5.701,11.8
北京市,2002,,,,1.0,7.20251452216122,0.0284925282782732,0.785553681843732,0.257835303898023,6.901,11.8
北京市,2003,,,,1.0,7.16820903647251,0.0298093910940996,0.790510848667948,0.261130585197969,7.424,11.1
北京市,2004,,,,1.0,6.96052455804426,0.0315331017180184,0.795337308233403,0.265725346023616,7.871,13.3
北京市,2005,,,,1.0,6.75586548364846,0.0311907240376442,0.836215864759428,0.29076751340121,8.218,12.3
北京市,2006,,,,1.0,6.46725887542025,0.0320819499326245,0.843347907557776,0.26995434712446,8.569,12.8
北京市,2007,,,,1.0,6.32040012124886,0.0331348989129463,0.844988066825776,0.254843954539592,8.776,14.4
北京市,2008,1.015372,,,1.0,6.0292759111719,0.0313022325620927,0.84901185770751,0.24229869545659,8.566,9.0
北京市,2009,0.622067,,,1.0,5.56224319535046,0.030398061964146,0.85005376344086,0.234966094875105,8.658,10.0
北京市,2010,0.427625,,,1.0,5.50689650096419,0.0302347193008536,0.85957490188083,0.240079412877526,8.907,10.4
北京市,2011,0.100939,0.136342808421821,72.5,1.0,5.29663536944993,0.0297052233276298,0.862041703725665,0.230894423000837,8.868,8.1
北京市,2012,0.0915,0.160257166118341,65.0,1.0,5.16230656308425,0.0292594132555985,0.862912154031288,0.227036142152421,8.895,7.7
北京市,2013,0.0571,0.191193160414125,58.8,1.0,5.06380490983933,0.0297667605006986,0.863884445280888,0.219804139325613,9.282,7.68
北京市,2014,0.0491,0.22983017184722,75.05,1.0,5.06688885598287,0.0298096208888382,0.864999309105983,0.213062501552917,9.212,7.4
北京市,2015,0.0421,0.29966749117322,85.7,1.0,4.31864684455444,0.0326232246406126,0.867111456381666,0.197380878825128,9.192,6.9
北京市,2016,0.0336,0.311733192396422,,1.0,4.22072276669835,0.0341229945097129,0.867632322128086,0.192622032768543,9.171,6.9
北京市,2017,0.0273,0.338222978848588,76.45,1.0,4.3787630796553,0.0336042225370212,0.869349252643091,0.190139975313172,9.236,6.8
北京市,2018,0.0221,0.389270892861497,79.96,1.0,4.43101253709129,0.0338220476004681,0.870922115253,0.186268262709936,9.239,6.7
北京市,2019,0.02,0.435213039763022,80.45,1.0,4.78458300880512,0.0310149901801641,0.873521756997397,0.161573457336008,9.512,6.1
北京市,2020,0.0226,0.461088881841906,88.61,1.0,5.05092619916866,0.0289653536974645,0.875344286556038,0.158337014975397,9.813,1.1
北京市,2021,0.0237,0.443717672562158,87.68,1.0,5.69672677207319,0.0293280905919657,0.875491181577264,0.180498440510956,10.123,8.8
北京市,2022,0.02253,0.482830314660363,,1.0,5.5616636431187,0.0286666253185735,0.875703886828732,0.158734850724209,10.444,0.7
北京市,2023,,0.491890434905766,,1.0,5.48981652814803,0.0290261621989773,0.878305425931009,0.149120100912463,10.774,5.2
天津市,2000,,,,1.0,8.50948944132585,0.00848178151420545,0.724004634716423,0.500298897130588,5.148,8.3
天津市,2001,,,,1.0,7.48668342779222,0.0106411102268837,0.724004634716423,0.471390085926142,5.822,9.6
天津市,2002,,,,1.0,7.26556313864485,0.0120259464067491,0.724004634716423,0.465834602715965,6.248,10.2
天津市,2003,,,,1.0,7.2346834145091,0.0126604719279349,0.724004634716423,0.483039375026668,6.598,12.3
天津市,2004,,,,1.0,6.9892272412138,0.0131646522312545,0.724004634716423,0.501502746731727,7.412,13.6
天津市,2005,,,,1.0,7.1442142404777,0.013030249087246,0.751441205528858,0.525181532348092,8.047,12.2
天津市,2006,,,,1.0,6.51458241272647,0.0134360049407846,0.757302325581395,0.557570013041315,8.487,11.9
天津市,2007,,,,1.0,6.16671362685925,0.0135458359405681,0.763130044843049,0.550668600887914,8.632,12.8
天津市,2008,0.334582,,,1.0,5.97243350389526,0.0138629673191713,0.772295918367347,0.568695388159863,8.571,13.7
天津市,2009,0.259445,,,1.0,5.07845020813321,0.0147350069652751,0.780101941115164,0.530167445508751,8.658,13.8
天津市,2010,0.212662,,,1.0,4.96121553702682,0.0153196424867837,0.795503698173618,0.524716893997047,8.975,14.4
天津市,2011,0.153341,0.0379894430554269,69.0,1.0,4.51615237734715,0.0164427124795843,0.80462341536167,0.524292314332006,9.328,13.4
天津市,2012,0.121963,0.0469385950214658,67.3,1.0,4.21937187676429,0.0170159544471242,0.815674891146589,0.516820383003409,10.07,11.3
天津市,2013,0.0958,0.0573994617198865,71.75,1.0,3.901365521083,0.0181810984929261,0.822695035460993,0.503855072804963,10.937,10.1
天津市,2014,0.0868,0.0655555161245201,77.12,1.0,3.68863313342809,0.019005101671068,0.825752274317705,0.491631233813592,11.015,7.5
天津市,2015,0.0871,0.0760787419029638,76.66,1.0,3.36581743932433,0.0183783885820249,0.829047949965254,0.465844206651393,10.459,6.9
天津市,2016,0.0777,0.0834908951187678,,1.0,3.10242388692312,0.0197034745400674,0.832986832986833,0.423325966053857,10.303,6.0
天津市,2017,0.09006,0.0899600023181074,66.79,1.0,3.7929773894606,0.0161633408669423,0.835460992907801,0.409375992698334,10.281,3.4
